Step,Dist_to_Truck,Speed,Stopping_Dist,Safety_Margin,Risk
134,3.11,3.13,1.00,-1.88,0.8226
135,3.09,3.05,0.95,-1.86,0.8198
136,3.07,2.97,0.90,-1.83,0.8167
137,3.05,2.89,0.85,-1.80,0.8134
138,3.04,2.81,0.81,-1.77,0.8099
139,3.02,2.74,0.76,-1.74,0.8063
140,3.02,2.69,0.74,-1.72,0.8031
141,3.01,2.70,0.74,-1.73,0.8019
142,3.00,2.74,0.76,-1.76,0.8026
143,3.00,2.79,0.80,-1.80,0.8048
144,3.00,2.83,0.81,-1.82,0.8072
145,3.00,2.80,0.80,-1.80,0.8079
146,3.00,2.75,0.77,-1.77,0.8069
147,3.00,2.69,0.74,-1.74,0.8043
148,3.01,2.64,0.71,-1.71,0.8013
149,3.01,2.66,0.72,-1.71,0.7995
150,3.02,2.70,0.74,-1.72,0.7992
151,3.03,2.76,0.78,-1.75,0.8002
152,3.04,2.79,0.79,-1.75,0.8011
153,3.06,2.77,0.78,-1.73,0.8003
154,3.07,2.72,0.75,-1.68,0.7976
155,3.09,2.67,0.73,-1.64,0.7938
156,3.11,2.68,0.73,-1.63,0.7908
157,3.13,2.73,0.76,-1.63,0.7893
158,3.15,2.79,0.79,-1.64,0.7890
159,3.17,2.82,0.81,-1.64,0.7885
160,3.20,2.80,0.80,-1.60,0.7861
161,3.23,2.75,0.77,-1.54,0.7816
162,3.25,2.70,0.74,-1.49,0.7759
163,3.28,2.71,0.75,-1.47,0.7711
164,3.31,2.75,0.77,-1.46,0.7679
165,3.35,2.78,0.79,-1.44,0.7646
166,3.38,2.75,0.77,-1.39,0.7597
167,3.42,2.72,0.75,-1.34,0.7536
168,3.45,2.73,0.76,-1.31,0.7484
169,3.49,2.78,0.79,-1.30,0.7446
170,3.53,2.81,0.81,-1.28,0.7409
171,3.57,2.79,0.79,-1.22,0.7349
172,3.61,2.73,0.76,-1.15,0.7268
173,3.65,2.69,0.74,-1.08,0.7178
174,3.70,2.71,0.75,-1.05,0.7101
175,3.74,2.75,0.77,-1.03,0.7042
176,3.79,2.78,0.79,-1.00,0.6986
177,3.83,2.75,0.77,-0.94,0.6910
178,3.88,2.70,0.75,-0.87,0.6815
179,3.92,2.66,0.72,-0.80,0.6706
180,3.97,2.67,0.73,-0.76,0.6614
181,4.01,2.71,0.75,-0.74,0.6542
182,4.06,2.77,0.78,-0.72,0.6486
183,4.11,2.80,0.80,-0.69,0.6427
184,4.17,2.77,0.78,-0.61,0.6338
185,4.22,2.73,0.76,-0.54,0.6225
186,4.27,2.68,0.73,-0.46,0.6100
187,4.32,2.69,0.74,-0.42,0.5994
188,4.37,2.76,0.78,-0.40,0.5916
189,4.43,2.90,0.86,-0.43,0.5887
190,4.50,3.08,0.96,-0.47,0.5902
191,4.57,3.27,1.09,-0.52,0.5950
192,4.66,3.47,1.23,-0.57,0.6018
193,4.75,3.64,1.35,-0.60,0.6078
194,4.86,3.68,1.38,-0.52,0.6053
195,4.97,3.64,1.35,-0.39,0.5938
196,5.07,3.60,1.32,-0.25,0.5763
197,5.18,3.64,1.35,-0.17,0.5592
198,5.29,3.76,1.44,-0.15,0.5478
199,5.41,3.93,1.57,-0.16,0.5418
200,5.54,4.12,1.73,-0.19,0.5401
201,5.67,4.29,1.88,-0.21,0.5407
